Order_Number,Word,Pinyin,Total_Frequency,Ngram_Count,Avg_Frequency,Word_Length
641,记得,ji4 de,115,9,12.78,2
642,怪,guai4,115,13,8.85,1
643,脚步,jiao3 bu4,114,11,10.36,2
644,糟糕,zao1 gao1,114,10,11.40,2
645,尖叫,jian1 jiao4,114,9,12.67,2
646,猫,mao1,113,7,16.14,1
647,节,jie2,113,10,11.30,1
648,睡觉,shui4 jiao4,113,12,9.42,2
649,眼汉,yan3 han4,112,4,28.00,2
650,忘,wang4,112,5,22.40,1
651,窗,chuang1,112,7,16.00,1
652,女人,nv3 ren2,112,10,11.20,2
653,教工,jiao4 gong1,112,12,9.33,2
654,孩子,hai2 zi,111,9,12.33,2
655,停住,ting2 zhu4,111,9,12.33,2
656,抓,zhua1,111,14,7.93,1
657,站在,zhan4 zai4,110,9,12.22,2
658,离,li2,110,10,11.00,1
659,普,pu3,109,6,18.17,1
660,兴趣,xing4 qu4,109,10,10.90,2
661,涨,zhang3,109,8,13.62,1
662,同,tong2,109,14,7.79,1
663,猛地,meng3 di4,109,13,8.38,2
664,辆,liang4,108,10,10.80,1
665,有些,you3 xie1,108,9,12.00,2
666,毫,hao2,107,7,15.29,1
667,重要,zhong4 yao4,107,10,10.70,2
668,但是,dan4 shi4,107,8,13.38,2
669,松,song1,107,6,17.83,1
670,神情,shen2 qing2,106,5,21.20,2
671,一动不动,yi1 dong4 bu4 dong4,106,9,11.78,4
672,嘶哑,si1 ya3,106,8,13.25,2
673,无,wu2,105,10,10.50,1
674,最好,zui4 hao3,105,10,10.50,2
675,世界杯赛,shi4 jie4 bei1 sai4,105,8,13.12,4
676,恼火,nao3 huo3,105,9,11.67,2
677,半,ban4,105,10,10.50,1
678,炸,zha4,104,6,17.33,1
679,生气,sheng1 qi4,104,13,8.00,2
680,魔药,mo2 yao4,103,9,11.44,2
681,冲,chong1,103,9,11.44,1
682,笼子,long2 zi,103,8,12.88,2
683,眨眼,zha3 yan3,103,10,10.30,2
684,回答,hui2 da2,103,12,8.58,2
685,挥,hui1,103,11,9.36,1
686,担心,dan1 xin1,103,12,8.58,2
687,主人,zhu3 ren2,102,6,17.00,2
688,女巫,nv3 wu1,102,7,14.57,2
689,浑身,hun2 shen1,102,8,12.75,2
690,肖像,xiao4 xiang4,102,8,12.75,2
691,站台,zhan4 tai2,102,16,6.38,2
692,加以,jia1 yi3,102,11,9.27,2
693,顺,shun4,101,5,20.20,1
694,老,lao3,101,9,11.22,1
695,杀死,sha1 si3,101,10,10.10,2
696,脸色,lian3 se4,101,8,12.62,2
697,莱,lai2,101,7,14.43,1
698,哭泣,ku1 qi4,100,6,16.67,2
699,海德薇,hai3 de2 wei1,100,11,9.09,3
700,嘟哝,du1 nong2,100,10,10.00,2
701,得到,de2 dao4,100,9,11.11,2
702,十字,shi2 zi4,100,7,14.29,2
703,克鲁姆,ke4 lu3 mu3,100,12,8.33,3
704,终于,zhong1 yu2,100,12,8.33,2
705,蛇,she2,100,14,7.14,1
706,尾螺,wei3 luo2,99,5,19.80,2
707,儿子,er2 zi,99,9,11.00,2
708,弄,nong4,99,11,9.00,1
709,咬,yao3,99,12,8.25,1
710,重重,chong2 chong2,98,6,16.33,2
711,镜子,jing4 zi,98,10,9.80,2
712,帮助,bang1 zhu4,98,12,8.17,2
713,滥用,lan4 yong4,98,11,8.91,2
714,脖子,bo2 zi,97,7,13.86,2
715,工作,gong1 zuo4,97,9,10.78,2
716,转向,zhuan3 xiang4,97,9,10.78,2
717,咔哒,ka1 da2,97,10,9.70,2
718,格兰芬多,ge2 lan2 fen1 duo1,97,12,8.08,4
719,小小,xiao3 xiao3,96,5,19.20,2
720,夫妇,fu1 fu4,96,5,19.20,2
721,产生,chan3 sheng1,96,8,12.00,2
722,使用,shi3 yong4,96,11,8.73,2
723,立刻,li4 ke4,96,8,12.00,2
724,张望,zhang1 wang4,96,8,12.00,2
725,实在,shi2 zai4,96,5,19.20,2
726,怎么样,zen3 me yang4,96,10,9.60,3
727,底下,di3 xia4,96,12,8.00,2
728,第10,di4 10,96,14,6.86,3
729,魔眼,mo2 yan3,95,5,19.00,2
730,身子,shen1 zi,95,7,13.57,2
731,伸出,shen1 chu1,95,8,11.88,2
732,帐篷,zhang4 peng2,95,9,10.56,2
733,近,jin4,95,8,11.88,1
734,正在,zheng4 zai4,95,11,8.64,2
735,宿舍,su4 she4,95,11,8.64,2
736,领,ling3,94,6,15.67,1
737,关系,guan1 xi4,94,8,11.75,2
738,没好气,mei2 hao3 qi4,94,8,11.75,3
739,列车,lie4 che1,94,4,23.50,2
740,哼,heng1,94,8,11.75,1
741,试,shi4,94,11,8.55,1
742,受,shou4,94,10,9.40,1
743,丝,si1,93,8,11.62,1
744,古怪,gu3 guai4,93,8,11.62,2
745,小心,xiao3 xin1,93,6,15.50,2
746,感,gan3,93,8,11.62,1
747,开心,kai1 xin1,93,10,9.30,2
748,盥洗室,guan4 xi3 shi4,93,8,11.62,3
749,门口,men2 kou3,93,11,8.45,2
750,忘记,wang4 ji4,92,8,11.50,2
751,管,guan3,92,10,9.20,1
752,巴格曼,ba1 ge2 man4,92,9,10.22,3
753,中间,zhong1 jian1,92,9,10.22,2
754,发,fa1,92,11,8.36,1
755,微微,wei1 wei1,92,11,8.36,2
756,捂,wu3,91,8,11.38,1
757,屁股,pi4 gu3,91,6,15.17,2
758,张大,zhang1 da4,91,8,11.38,2
759,多少,duo1 shao3,91,11,8.27,2
760,许,xu3,90,5,18.00,1
761,棵,ke1,90,7,12.86,1
762,洞口,dong4 kou3,90,9,10.00,2
763,心,xin1,90,7,12.86,1
764,夜里,ye4 li3,90,7,12.86,2
765,关,guan1,90,8,11.25,1
766,唯一,wei2 yi1,90,9,10.00,2
767,拉,la1,90,7,12.86,1
768,叹,tan4,90,7,12.86,1
769,接着,jie1 zhe,90,9,10.00,2
770,疼,teng2,90,10,9.00,1
771,球手,qiu2 shou3,89,5,17.80,2
772,校,xiao4,89,9,9.89,1
773,斑斑,ban1 ban1,89,9,9.89,2
774,摔,shuai1,89,10,8.90,1
775,未成年,wei4 cheng2 nian2,89,9,9.89,3
776,哪里,na3 li3,88,8,11.00,2
777,照片,zhao4 pian1,88,6,14.67,2
778,布,bu4,88,3,29.33,1
779,今天,jin1 tian1,88,11,8.00,2
780,不停,bu4 ting2,87,5,17.40,2
781,藏,cang2,87,6,14.50,1
782,魔法部,mo2 fa3 bu4,87,6,14.50,3
783,福吉,fu2 ji2,87,9,9.67,2
784,里德尔,li3 de2 er3,87,8,10.88,3
785,只要,zhi3 yao4,87,9,9.67,2
786,只有,zhi3 you3,87,11,7.91,2
787,真是,zhen1 shi4,86,8,10.75,2
788,空中,kong1 zhong1,86,8,10.75,2
789,午饭,wu3 fan4,86,9,9.56,2
790,摄,she4,85,6,14.17,1
791,各,ge4,85,7,12.14,1
792,气喘吁吁,qi4 chuan3 xu1 xu1,85,7,12.14,4
793,显然,xian3 ran2,85,9,9.44,2
794,轻轻,qing1 qing1,85,9,9.44,2
795,呀,ya,85,11,7.73,1
796,别的,bie2 de,85,10,8.50,2
797,斗篷,dou3 peng2,85,10,8.50,2
798,拖,tuo1,84,8,10.50,1
799,作业,zuo4 ye4,84,8,10.50,2
800,苍白,cang1 bai2,84,6,14.00,2
801,卧室,wo4 shi4,84,7,12.00,2
802,洛哈特,luo4 ha1 te4,84,8,10.50,3
803,麻烦,ma2 fan2,84,8,10.50,2
804,咧嘴,lie3 zui3,84,8,10.50,2
805,大步,da4 bu4,84,11,7.64,2
806,魂怪,hun2 guai4,83,5,16.60,2
807,太太,tai4 tai4,83,4,20.75,2
808,躲,duo3,83,5,16.60,1
809,德姆斯特朗,de2 mu3 si1 te4 lang3,83,6,13.83,5
810,念,nian4,83,7,11.86,1
811,幻影,huan4 ying3,83,6,13.83,2
812,总是,zong3 shi4,83,10,8.30,2
813,问道,wen4 dao4,83,9,9.22,2
814,低沉,di1 chen2,83,11,7.55,2
815,怀疑,huai2 yi2,83,9,9.22,2
816,坏,huai4,83,10,8.30,1
817,匆匆,cong1 cong1,83,11,7.55,2
818,翅膀,chi4 bang3,82,5,16.40,2
819,皱,zhou4,82,7,11.71,1
820,交换,jiao1 huan4,82,9,9.11,2
821,埋,mai2,82,5,16.40,1
822,柱,zhu4,82,7,11.71,1
823,擦,ca1,82,8,10.25,1
824,睡,shui4,82,9,9.11,1
825,礼,li3,82,8,10.25,1
826,变得,bian4 de2,82,12,6.83,2
827,闪烁,shan3 shuo4,81,7,11.57,2
828,马上,ma3 shang4,81,7,11.57,2
829,永远,yong3 yuan3,81,7,11.57,2
830,皱起,zhou4 qi3,81,5,16.20,2
831,惊讶,jing1 ya4,81,9,9.00,2
832,房子,fang2 zi,81,8,10.12,2
833,日记,ri4 ji4,81,7,11.57,2
834,了不起,liao3 bu4 qi3,81,11,7.36,3
835,难道,nan2 dao4,81,9,9.00,2
836,穿过,chuan1 guo4,81,11,7.36,2
837,吼,hou3,81,6,13.50,1
838,仿佛,fang3 fu2,81,11,7.36,2
839,响起,xiang3 qi3,81,11,7.36,2
840,请,qing3,80,9,8.89,1
841,掉,diao4,80,8,10.00,1
842,国王,guo2 wang2,80,6,13.33,2
843,合理,he2 li3,80,9,8.89,2
844,老天,lao3 tian1,80,11,7.27,2
845,冰冷,bing1 leng3,79,7,11.29,2
846,男人,nan2 ren2,79,6,13.17,2
847,五十,wu3 shi2,79,9,8.78,2
848,搞,gao3,79,11,7.18,1
849,预言家,yu4 yan2 jia1,78,1,78.00,3
850,日报,ri4 bao4,78,1,78.00,2
851,弗立维,fu2 li4 wei2,78,5,15.60,3
852,狠狠,hen3 hen3,78,4,19.50,2
853,套,tao4,78,6,13.00,1
854,衣服,yi1 fu2,78,6,13.00,2
855,膝盖,xi1 gai4,78,6,13.00,2
856,跟着,gen1 zhe,78,8,9.75,2
857,怎样,zen3 yang4,78,10,7.80,2
858,思,si1,78,7,11.14,1
859,难,nan2,77,3,25.67,1
860,石,shi2,77,4,19.25,1
861,飞贼,fei1 zei2,77,7,11.00,2
862,恢复,hui1 fu4,77,5,15.40,2
863,秘密,mi4 mi4,77,7,11.00,2
864,绝对,jue2 dui4,77,8,9.62,2
865,徽章,hui1 zhang1,77,9,8.56,2
866,爬,pa2,77,8,9.62,1
867,眼镜,yan3 jing4,77,9,8.56,2
868,走出,zou3 chu1,77,8,9.62,2
869,往常,wang3 chang2,77,6,12.83,2
870,扶手椅,fu2 shou3 yi3,77,9,8.56,3
871,英寸,ying1 cun4,77,9,8.56,2
872,您,nin2,76,8,9.50,1
873,阿兹卡班,a1 zi1 ka3 ban1,76,9,8.44,4
874,一会儿,yi1 hui4 er,75,4,18.75,3
875,送给,song4 gei3,75,7,10.71,2
876,粗声粗气,cu1 sheng1 cu1 qi4,75,8,9.38,4
877,篇,pian1,75,7,10.71,1
878,密室,mi4 shi4,75,9,8.33,2
879,树,shu4,75,10,7.50,1
880,特别,te4 bie2,75,11,6.82,2
881,进,jin4,74,3,24.67,1
882,气呼呼,qi4 hu1 hu1,74,5,14.80,3
883,四周,si4 zhou1,74,8,9.25,2
884,无法,wu2 fa3,74,9,8.22,2
885,呼哧,hu1 chi1,74,8,9.25,2
886,餐桌,can1 zhuo1,74,9,8.22,2
887,博格,bo2 ge2,73,7,10.43,2
888,座,zuo4,73,7,10.43,1
889,口吻,kou3 wen3,73,3,24.33,2
890,第三,di4 san1,73,6,12.17,2
891,车站,che1 zhan4,73,6,12.17,2
892,包厢,bao1 xiang1,73,9,8.11,2
893,发光,fa1 guang1,72,5,14.40,2
894,怎么办,zen3 me ban4,72,6,12.00,3
895,生日,sheng1 ri4,72,7,10.29,2
896,跟在,gen1 zai4,72,7,10.29,2
897,姑娘,gu1 niang2,72,8,9.00,2
898,级长,ji2 zhang3,72,9,8.00,2
899,分儿,fen1 er2,72,9,8.00,2
900,猜,cai1,71,6,11.83,1
901,呆呆,dai1 dai1,71,4,17.75,2
902,漂亮,piao4 liang4,71,8,8.88,2
903,翻,fan1,71,8,8.88,1
904,捅,tong3,71,7,10.14,1
905,面,mian4,71,8,8.88,1
906,杀,sha1,71,9,7.89,1
907,不管,bu4 guan3,71,7,10.14,2
908,迟疑,chi2 yi2,71,8,8.88,2
909,肯,ken3,70,4,17.50,1
910,点儿,dian3 er2,70,4,17.50,2
911,团,tuan2,70,5,14.00,1
912,支,zhi1,70,6,11.67,1
913,结束,jie2 shu4,70,5,14.00,2
914,真正,zhen1 zheng4,70,5,14.00,2
915,往前,wang3 qian2,70,7,10.00,2
916,好奇,hao4 qi2,70,7,10.00,2
917,环顾,huan2 gu4,70,6,11.67,2
918,图书馆,tu2 shu1 guan3,70,8,8.75,3
919,恶作剧,e4 zuo4 ju4,70,8,8.75,3
920,本来,ben3 lai2,70,9,7.78,2
921,便,bian4,70,9,7.78,1
922,医院,yi1 yuan4,70,9,7.78,2
923,吼道,hou3 dao4,70,9,7.78,2
924,新生,xin1 sheng1,69,3,23.00,2
925,忙,mang2,69,7,9.86,1
926,通红,tong1 hong2,69,5,13.80,2
927,球场,qiu2 chang3,69,7,9.86,2
928,接下来,jie1 xia4 lai2,69,7,9.86,3
929,寻找,xun2 zhao3,69,10,6.90,2
930,变出,bian4 chu1,69,10,6.90,2
931,金蛋,jin1 dan4,69,7,9.86,2
932,哈欠,ha1 qian4,69,8,8.62,2
933,挣扎,zheng1 zha2,68,6,11.33,2
934,耀眼,yao4 yan3,68,6,11.33,2
935,巴顿,ba1 dun4,68,4,17.00,2
936,名,ming2,68,8,8.50,1
937,剩下,sheng4 xia4,68,6,11.33,2
938,盘子,pan2 zi,68,6,11.33,2
939,熟悉,shu2 xi1,68,7,9.71,2
940,得意,de2 yi4,68,6,11.33,2
941,最近,zui4 jin4,68,7,9.71,2
942,车,che1,68,8,8.50,1
943,费尔奇,fei4 er3 qi2,68,7,9.71,3
944,学期,xue2 qi1,68,9,7.56,2
945,口气,kou3 qi4,67,5,13.40,2
946,随时,sui2 shi2,67,5,13.40,2
947,标记,biao1 ji4,67,7,9.57,2
948,一眼,yi1 yan3,67,7,9.57,2
949,鞠,ju1,67,7,9.57,1
950,叼,diao1,67,8,8.38,1
951,可怜,ke3 lian2,66,4,16.50,2
952,幽灵,you1 ling2,66,4,16.50,2
953,发抖,fa1 dou3,66,5,13.20,2
954,女,nv3,66,8,8.25,1
955,退,tui4,66,6,11.00,1
956,老鼠,lao3 shu3,66,8,8.25,2
957,接下气,jie1 xia4 qi4,66,10,6.60,3
958,背影,bei4 ying3,65,6,10.83,2
959,整整,zheng3 zheng3,65,5,13.00,2
960,学生会,xue2 sheng1 hui4,65,4,16.25,3
961,安全,an1 quan2,65,7,9.29,2
962,冷气,leng3 qi4,65,4,16.25,2
963,容易,rong2 yi4,65,6,10.83,2
964,简单,jian3 dan1,65,9,7.22,2
965,十分,shi2 fen1,65,9,7.22,2
966,比尔,bi3 er3,65,7,9.29,2
967,停止,ting2 zhi3,64,4,16.00,2
968,其中,qi2 zhong1,64,5,12.80,2
969,之后,zhi1 hou4,64,7,9.14,2
970,所以,suo3 yi3,64,5,12.80,2
971,礼物,li3 wu4,64,7,9.14,2
972,算,suan4,64,6,10.67,1
973,扭头,niu3 tou2,64,7,9.14,2
974,事儿,shi4 er2,64,7,9.14,2
975,一半,yi2 ban4,64,7,9.14,2
976,恶心,e3 xin1,64,5,12.80,2
977,寂静,ji4 jing4,64,8,8.00,2
978,谢谢,xie4 xie4,63,2,31.50,2
979,小心翼翼,xiao3 xin1 yi4 yi4,63,7,9.00,4
980,同学们,tong2 xue2 men,63,5,12.60,3
981,舒服,shu1 fu2,63,5,12.60,2
982,贴,tie1,63,6,10.50,1
983,看守,kan1 shou3,63,7,9.00,2
984,讲,jiang3,63,7,9.00,1
985,巧克力,qiao3 ke4 li4,63,6,10.50,3
986,女生,nv3 sheng1,63,7,9.00,2
987,机会,ji1 hui4,63,6,10.50,2
988,德,de2,63,6,10.50,1
989,摸,mo1,63,10,6.30,1
990,胖,pang4,62,5,12.40,1
991,惊恐,jing1 kong3,62,3,20.67,2
992,赢,ying2,62,6,10.33,1
993,讨厌,tao3 yan4,62,5,12.40,2
994,帽子,mao4 zi,62,6,10.33,2
995,痛苦,tong4 ku3,62,4,15.50,2
996,厉声,li4 sheng1,62,8,7.75,2
997,笑眯眯,xiao4 mi1 mi1,62,6,10.33,3
998,而且,er2 qie3,62,6,10.33,2
999,害怕,hai4 pa4,62,7,8.86,2
1000,卡卡洛夫,ka3 ka3 luo4 fu1,62,6,10.33,4
1001,客气,ke4 qi4,62,7,8.86,2
1002,查理,cha2 li3,62,7,8.86,2
1003,回头,hui2 tou2,62,7,8.86,2
1004,已,yi3,62,8,7.75,1
1005,费格,fei4 ge2,61,2,30.50,2
1006,占卜,zhan1 bu3,61,4,15.25,2
1007,黑色,hei1 se4,61,4,15.25,2
1008,禁林,jin4 lin2,61,5,12.20,2
1009,咯咯,ge1 ge1,61,5,12.20,2
1010,早晨,zao3 chen2,61,5,12.20,2
1011,表现,biao3 xian4,61,5,12.20,2
1012,呼吸,hu1 xi1,61,7,8.71,2
1013,食死徒,shi2 si3 tu2,61,6,10.17,3
1014,回去,hui2 qu4,61,7,8.71,2
1015,做到,zuo4 dao4,61,8,7.62,2
1016,顾,gu4,61,8,7.62,1
1017,自然,zi4 ran2,61,8,7.62,2
1018,翼兽,yi4 shou4,61,8,7.62,2
1019,家伙,jia1 huo,60,3,20.00,2
1020,霍琦,huo4 qi2,60,3,20.00,2
1021,脚步声,jiao3 bu4 sheng1,60,3,20.00,3
1022,愤怒,fen4 nu4,60,3,20.00,2
1023,坩埚,gan1 guo1,60,5,12.00,2
1024,片刻,pian4 ke4,60,4,15.00,2
1025,撞,zhuang4,60,5,12.00,1
1026,伟大,wei3 da4,60,5,12.00,2
1027,金库,jin1 ku4,60,6,10.00,2
1028,秒钟,miao3 zhong1,60,5,12.00,2
1029,韦斯,wei2 si1,60,4,15.00,2
1030,吓人,xia4 ren2,60,7,8.57,2
1031,兜帽,dou1 mao4,60,5,12.00,2
1032,缝,feng4,60,6,10.00,1
1033,今晚,jin1 wan3,60,9,6.67,2
1034,飞球,fei1 qiu2,59,4,14.75,2
1035,靠,kao4,59,6,9.83,1
1036,卷,juan3,59,4,14.75,1
1037,钥匙,yao4 shi,59,5,11.80,2
1038,球队,qiu2 dui4,59,5,11.80,2
1039,草地,cao3 di4,59,4,14.75,2
1040,楼上,lou2 shang4,59,7,8.43,2
1041,隔,ge2,58,4,14.50,1
1042,银色,yin2 se4,58,4,14.50,2
1043,邓,deng4,58,2,29.00,1
1044,门开,men2 kai1,58,3,19.33,2
1045,围,wei2,58,5,11.60,1
1046,语气,yu3 qi4,58,8,7.25,2
1047,认出,ren4 chu1,58,8,7.25,2
1048,楼,lou2,58,6,9.67,1
1049,控制,kong4 zhi4,58,8,7.25,2
1050,面孔,mian4 kong3,57,3,19.00,2
1051,分院,fen1 yuan4,57,4,14.25,2
1052,决,jue2,57,4,14.25,1
1053,祝,zhu4,57,4,14.25,1
1054,昏暗,hun1 an4,57,5,11.40,2
1055,塞德里克•迪戈,sai1 de2 li3 ke4 • di2 ge1,57,7,8.14,7
1056,碰到,peng4 dao4,57,7,8.14,2
1057,蓝,lan2,57,5,11.40,1
1058,通过,tong1 guo4,57,7,8.14,2
1059,出身,chu1 shen1,57,5,11.40,2
1060,往下,wang3 xia4,57,6,9.50,2
1061,乱,luan4,57,7,8.14,1
1062,教师,jiao4 shi1,57,7,8.14,2
1063,物品,wu4 pin3,57,7,8.14,2
1064,层,ceng2,56,4,14.00,1
1065,黑魔,hei1 mo2,56,6,9.33,2
1066,一下子,yi1 xia4 zi,56,6,9.33,3
1067,书包,shu1 bao1,56,4,14.00,2
1068,喃喃,nan2 nan2,56,6,9.33,2
1069,课堂,ke4 tang2,56,5,11.20,2
1070,严肃,yan2 su4,56,5,11.20,2
1071,布斯巴顿,bu4 si1 ba1 dun4,56,6,9.33,4
1072,男生,nan2 sheng1,56,4,14.00,2
1073,禁止,jin4 zhi3,56,6,9.33,2
1074,留下,liu2 xia4,56,7,8.00,2
1075,这边,zhe4 bian1,56,9,6.22,2
1076,愿,yuan4,55,2,27.50,1
1077,排,pai2,55,5,11.00,1
1078,骑,qi2,55,6,9.17,1
1079,十二,shi2 er4,55,5,11.00,2
1080,摇晃,yao2 huang4,55,7,7.86,2
1081,阴影,yin1 ying3,55,5,11.00,2
1082,壁炉,bi4 lu2,55,5,11.00,2
1083,人们,ren2 men,55,6,9.17,2
1084,开玩笑,kai1 wan2 xiao4,55,5,11.00,3
1085,先,xian1,55,7,7.86,1
1086,羽毛笔,yu3 mao2 bi3,55,7,7.86,3
1087,厚厚,hou4 hou4,54,3,18.00,2
1088,绝,jue2,54,3,18.00,1
1089,某,mou3,54,5,10.80,1
1090,瞪着,deng4 zhe,54,5,10.80,2
1091,移形,yi2 xing2,54,4,13.50,2
1092,树林,shu4 lin2,54,5,10.80,2
1093,满,man3,54,6,9.00,1
1094,越来越,yue4 lai2 yue4,54,5,10.80,3
1095,水,shui3,54,6,9.00,1
1096,脚板,jiao3 ban3,54,7,7.71,2
1097,尖声,jian1 sheng1,54,8,6.75,2
1098,咆哮,pao2 xiao1,54,7,7.71,2
1099,警告,jing3 gao4,54,7,7.71,2
1100,会飞,hui4 fei1,54,8,6.75,2
1101,等待,deng3 dai4,53,3,17.67,2
1102,上去,shang4 qu4,53,4,13.25,2
1103,见到,jian4 dao4,53,6,8.83,2
1104,紧,jin3,53,6,8.83,1
1105,袍子,pao2 zi,53,5,10.60,2
1106,胡子,hu2 zi,53,7,7.57,2
1107,攥,zuan4,53,7,7.57,1
1108,指着,zhi3 zhe,53,6,8.83,2
1109,闪电,shan3 dian4,53,7,7.57,2
1110,主意,zhu3 yi4,53,8,6.62,2
1111,出声,chu1 sheng1,53,7,7.57,2
1112,一点,yi4 dian3,53,7,7.57,2
1113,大理石,da4 li3 shi2,52,3,17.33,3
1114,姑妈,gu1 ma1,52,3,17.33,2
1115,光,guang1,52,4,13.00,1
1116,消息,xiao1 xi1,52,4,13.00,2
1117,主席,zhu3 xi2,52,4,13.00,2
1118,甚至,shen4 zhi4,52,5,10.40,2
1119,闷闷不乐,men4 men4 bu4 le4,52,6,8.67,4
1120,躬,gong1,52,4,13.00,1
1121,投进,tou2 jin4,52,6,8.67,2
1122,认识,ren4 shi2,52,7,7.43,2
1123,想想,xiang3 xiang3,52,5,10.40,2
1124,提醒,ti2 xing3,52,8,6.50,2
1125,当时,dang1 shi2,52,7,7.43,2
1126,派,pai4,52,7,7.43,1
1127,不止,bu4 zhi3,52,7,7.43,2
1128,同样,tong2 yang4,51,5,10.20,2
1129,茫然,mang2 ran2,51,5,10.20,2
1130,递给,di4 gei3,51,5,10.20,2
1131,千万,qian1 wan4,51,4,12.75,2
1132,茶,cha2,51,5,10.20,1
1133,逃,tao2,51,7,7.29,1
1134,旋转,xuan2 zhuan3,51,6,8.50,2
1135,街,jie1,51,6,8.50,1
1136,蜘蛛,zhi1 zhu1,51,5,10.20,2
1137,轻,qing1,51,7,7.29,1
1138,瞧,qiao2,51,6,8.50,1
1139,迪戈里,di2 ge1 li3,50,2,25.00,3
1140,冷冷,leng3 leng3,50,4,12.50,2
1141,绿色,lv4 se4,50,4,12.50,2
1142,推开,tui1 kai1,50,5,10.00,2
1143,火车,huo3 che1,50,5,10.00,2
1144,喉咙,hou2 long2,50,7,7.14,2
1145,砰,peng1,50,4,12.50,1
1146,店,dian4,50,7,7.14,1
1147,分,fen1,50,7,7.14,1
1148,死死,si3 si3,50,7,7.14,2
1149,睁得,zheng1 de2,50,5,10.00,2
1150,迷雾,mi2 wu4,50,5,10.00,2
1151,允许,yun3 xu3,50,7,7.14,2
1152,斯普劳特,si1 pu3 lao2 te4,49,2,24.50,4
1153,走开,zou3 kai1,49,4,12.25,2
1154,有趣,you3 qu4,49,3,16.33,2
1155,伸进,shen1 jin4,49,3,16.33,2
1156,原来,yuan2 lai2,49,3,16.33,2
1157,队员,dui4 yuan2,49,5,9.80,2
1158,捂住,wu3 zhu4,49,5,9.80,2
1159,半空,ban4 kong1,49,5,9.80,2
1160,想象,xiang3 xiang4,49,5,9.80,2
1161,框,kuang1,49,5,9.80,1
1162,倒抽,dao4 chou1,49,4,12.25,2
1163,劳尼,lao2 ni2,49,7,7.00,2
1164,尖头,jian1 tou2,49,7,7.00,2
1165,竖,shu4,49,6,8.17,1
1166,奥利凡德,ao4 li4 fan2 de2,48,2,24.00,4
1167,黄油,huang2 you2,48,3,16.00,2
1168,手臂,shou3 bi4,48,4,12.00,2
1169,绝望,jue2 wang4,48,5,9.60,2
1170,酒吧,jiu3 ba1,48,4,12.00,2
1171,尽管,jin3 guan3,48,5,9.60,2
1172,爆发,bao4 fa1,48,3,16.00,2
1173,合适,he2 shi4,48,5,9.60,2
1174,玩笑,wan2 xiao4,48,5,9.60,2
1175,成功,cheng2 gong1,48,5,9.60,2
1176,扑扇,pu1 shan1,48,4,12.00,2
1177,呼呼,hu1 hu1,48,5,9.60,2
1178,晚,wan3,48,4,12.00,1
1179,袜子,wa4 zi,48,6,8.00,2
1180,钻,zuan1,48,6,8.00,1
1181,低,di1,48,6,8.00,1
1182,样,yang4,48,5,9.60,1
1183,挤,ji3,48,6,8.00,1
1184,通道,tong1 dao4,48,6,8.00,2
1185,落到,luo4 dao4,48,6,8.00,2
1186,高高,gao1 gao1,47,3,15.67,2
1187,挥舞,hui1 wu3,47,4,11.75,2
1188,公爵,gong1 jue2,47,3,15.67,2
1189,记忆,ji4 yi4,47,4,11.75,2
1190,嗓子,sang3 zi,47,4,11.75,2
1191,敞开,chang3 kai1,47,5,9.40,2
1192,透,tou4,47,5,9.40,1
1193,爵士,jue2 shi4,47,5,9.40,2
1194,沉,chen2,47,5,9.40,1
1195,血,xue4,47,4,11.75,1
1196,床头柜,chuang2 tou2 gui4,47,6,7.83,3
1197,使劲,shi3 jin4,47,6,7.83,2
1198,装,zhuang1,47,7,6.71,1
1199,不然,bu4 ran2,47,6,7.83,2
1200,捡,jian3,47,6,7.83,1
1201,第9,di4 9,47,6,7.83,2
1202,努力,nu3 li4,47,7,6.71,2
1203,情绪,qing2 xu4,46,3,15.33,2
1204,响亮,xiang3 liang4,46,4,11.50,2
1205,看台,kan4 tai2,46,4,11.50,2
1206,什么样,shen2 me yang4,46,5,9.20,3
1207,攻击,gong1 ji1,46,6,7.67,2
1208,完,wan2,46,5,9.20,1
1209,恐惧,kong3 ju4,46,3,15.33,2
1210,哭,ku1,46,5,9.20,1
1211,玩意儿,wan2 yi4 er2,46,5,9.20,3
1212,变形,bian4 xing2,46,6,7.67,2
1213,优秀,you1 xiu4,46,4,11.50,2
1214,二十,er4 shi2,46,5,9.20,2
1215,六,liu4,46,5,9.20,1
1216,以后,yi3 hou4,46,5,9.20,2
1217,伸,shen1,46,6,7.67,1
1218,格兰杰,ge2 lan2 jie2,45,2,22.50,3
1219,玛姬,ma3 ji1,45,2,22.50,2
1220,打断,da3 duan4,45,2,22.50,2
1221,焦急,jiao1 ji2,45,4,11.25,2
1222,旧,jiu4,45,4,11.25,1
1223,面颊,mian4 jia2,45,3,15.00,2
1224,随着,sui2 zhe,45,3,15.00,2
1225,受到,shou4 dao4,45,4,11.25,2
1226,平常,ping2 chang2,45,5,9.00,2
1227,校长,xiao4 zhang3,45,5,9.00,2
1228,侧,ce4,45,4,11.25,1
1229,赢得,ying2 de2,45,6,7.50,2
1230,送,song4,45,6,7.50,1
1231,国际,guo2 ji4,45,5,9.00,2
1232,半夜,ban4 ye4,45,6,7.50,2
1233,带到,dai4 dao4,45,6,7.50,2
1234,似,shi4,44,1,44.00,1
1235,迪戈,di2 ge1,44,2,22.00,2
