Category,Type,Character1,Pinyin1,Frequency1,Character2,Pinyin2,Frequency2,Difficulty,Notes
Complex,Retroflex-Palatal: zh-j,只,zhi3,239,挤,ji3,14,Hard,Alternating: 只只挤只挤挤 (zhi3-zhi3-ji3-zhi3-ji3-ji3)
Complex,Palatal-Retroflex: q-zh,起,qi3,231,纸,zhi3,21,Hard,Alternating: 起起纸起纸纸 (qi3-qi3-zhi3-qi3-zhi3-zhi3)
Complex,Dental-Retroflex: c-ch,从,cong2,237,虫,chong2,14,Hard,Alternating: 从从虫从虫虫 (cong2-cong2-chong2-cong2-chong2-chong2)
Complex,Retroflex-Palatal: zh-x,知,zhi1,205,吸,xi1,46,Hard,Alternating: 知知吸知吸吸 (zhi1-zhi1-xi1-zhi1-xi1-xi1)
Complex,Retroflex-Dental: zh-c,只,zhi3,239,此,ci3,10,Hard,Alternating: 只只此只此此 (zhi3-zhi3-ci3-zhi3-ci3-ci3)
Complex,Palatal-Dental: q-c,气,qi4,173,次,ci4,76,Hard,Alternating: 气气次气次次 (qi4-qi4-ci4-qi4-ci4-ci4)
Complex,Retroflex-Palatal: zh-x,只,zhi3,239,洗,xi3,8,Hard,Alternating: 只只洗只洗洗 (zhi3-zhi3-xi3-zhi3-xi3-xi3)
Complex,Retroflex-Dental: sh-c,时,shi2,195,茨,ci2,50,Hard,Alternating: 时时茨时茨茨 (shi2-shi2-ci2-shi2-ci2-ci2)
Complex,Palatal-Dental: q-z,气,qi4,173,字,zi4,72,Hard,Alternating: 气气字气字字 (qi4-qi4-zi4-qi4-zi4-zi4)
Complex,Palatal-Retroflex: q-ch,起,qi3,231,尺,chi3,13,Hard,Alternating: 起起尺起尺尺 (qi3-qi3-chi3-qi3-chi3-chi3)
Complex,Dental-Retroflex: z-zh,走,zou3,206,帚,zhou3,38,Hard,Alternating: 走走帚走帚帚 (zou3-zou3-zhou3-zou3-zhou3-zhou3)
Complex,Retroflex-Dental: zh-z,只,zhi3,239,紫,zi3,3,Hard,Alternating: 只只紫只紫紫 (zhi3-zhi3-zi3-zhi3-zi3-zi3)
Complex,Palatal-Dental: q-c,起,qi3,231,此,ci3,10,Hard,Alternating: 起起此起此此 (qi3-qi3-ci3-qi3-ci3-ci3)
Complex,Retroflex-Palatal: zh-x,知,zhi1,205,息,xi1,35,Hard,Alternating: 知知息知息息 (zhi1-zhi1-xi1-zhi1-xi1-xi1)
Complex,Dental-Retroflex: s-ch,斯,si1,156,吃,chi1,84,Hard,Alternating: 斯斯吃斯吃吃 (si1-si1-chi1-si1-chi1-chi1)
Complex,Retroflex-Palatal: zh-q,知,zhi1,205,期,qi1,33,Hard,Alternating: 知知期知期期 (zhi1-zhi1-qi1-zhi1-qi1-qi1)
Complex,Retroflex-Palatal: sh-q,时,shi2,195,其,qi2,43,Hard,Alternating: 时时其时其其 (shi2-shi2-qi2-shi2-qi2-qi2)
Complex,Retroflex-Palatal: sh-j,时,shi2,195,级,ji2,41,Hard,Alternating: 时时级时级级 (shi2-shi2-ji2-shi2-ji2-ji2)
